[Date: 02.12.2021 time: 02:01:11] | Succesfully started BankingLogger
[Date: 02.12.2021 time: 02:22:24] | Player: 76561198389777837 withdrawed 8000 from own account.
[Date: 02.12.2021 time: 02:22:25] | Player: 76561198804910463 withdrawed 40000 from own account.
[Date: 02.12.2021 time: 02:22:27] | Player: 76561198389777837 withdrawed 0 from own account.
[Date: 02.12.2021 time: 02:22:28] | Player: 76561198389777837 withdrawed 0 from own account.
[Date: 02.12.2021 time: 02:22:35] | Player: 76561198389777837 withdrawed 0 from own account.
[Date: 02.12.2021 time: 02:22:36] | Player: 76561198389777837 withdrawed 0 from own account.
[Date: 02.12.2021 time: 02:22:38] | Player: 76561198389777837 withdrawed 0 from own account.
[Date: 02.12.2021 time: 02:30:12] | Player: 76561198804910463 Deposited 23598 on own account.
[Date: 02.12.2021 time: 04:26:24] | Player: 76561198804910463 withdrawed 100000 from own account.
[Date: 02.12.2021 time: 04:41:35] | Player: 76561198804910463 withdrawed 30750 from own account.
[Date: 02.12.2021 time: 04:47:03] | Player: 76561198389777837 withdrawed 9000 from own account.
[Date: 02.12.2021 time: 04:48:58] | Player: 76561198804910463 withdrawed 2000 from own account.
[Date: 02.12.2021 time: 04:49:37] | Player: 76561198804910463 withdrawed 5850 from own account.
[Date: 02.12.2021 time: 04:50:08] | Player: 76561198804910463 withdrawed 1000 from own account.
[Date: 02.12.2021 time: 04:54:22] | Player: 76561198804910463 withdrawed 1600 from own account.
[Date: 02.12.2021 time: 04:54:59] | Player: 76561198804910463 withdrawed 100000 from own account.
[Date: 02.12.2021 time: 04:55:07] | Player: 76561198389777837 withdrawed 1000 from own account.
[Date: 02.12.2021 time: 04:55:11] | Player: 76561198804910463 Deposited 100000 on own account.
[Date: 02.12.2021 time: 04:56:36] | Player: 76561198804910463 withdrawed 10000 from own account.
[Date: 02.12.2021 time: 04:59:07] | Player: 76561198804910463 Deposited 6854 on own account.
[Date: 02.12.2021 time: 05:05:01] | Player: 76561198389777837 withdrawed 1000 from own account.
[Date: 02.12.2021 time: 05:06:34] | Player: 76561198389777837 Deposited 437 on own account.
